Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,GP,W,L,ERA,WHIP,SV,Type,DraftedOutOf,link,id_type,player_id,notes,team_id
1971,1,6sd,20,FrRnd,20,Dodgers,Y,,Steve Patchin (minors),C,,,,,,,,,,,,,4Yr,"University of Missouri (Columbia, MO)",/register/player.fcgi?id=patchi001ste,baseball_reference_minor_league_id,patchi001ste,NA,LAD
1971,1,6sd,21,FrRnd,21,Tigers,Y,,Charles Coe (minors),SS,,,,,,,,,,,,,4Yr,"Kansas State University (Manhattan, KS)",/register/player.fcgi?id=coe---001cha,baseball_reference_minor_league_id,coe---001cha,NA,DET
1971,1,6sd,22,FrRnd,22,Phillies,Y,,Dane Iorg (minors),SS,0.3,743,1647,14,.276,.695,2,0,0,12,2.00,0,4Yr,"Brigham Young University (Provo, UT)",/players/i/iorgda01.shtml,baseball_reference_id,iorgda01,NA,PHI
1971,1,6sd,23,FrRnd,23,White Sox,Y,,Craig Lown (minors),RHP,,,,,,,,,,,,,4Yr,"Colorado State University-Pueblo (Pueblo, CO)",/register/player.fcgi?id=lown--001cra,baseball_reference_minor_league_id,lown--001cra,NA,CHW
1971,1,6sd,24,FrRnd,24,Mets,N,,Rich Anderson (minors),RHP,,,,,,,,,,,,,4Yr,"University of New Haven (West Haven, CT)",/register/player.fcgi?id=anders007ric,baseball_reference_minor_league_id,anders007ric,NA,NYM
1971,2,6sd,25,FrRnd,1,Senators,Y,,Mike Cubbage (minors),SS,6.4,703,1951,34,.258,.699,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",/players/c/cubbami01.shtml,baseball_reference_id,cubbami01,NA,TEX
1971,2,6sd,26,FrRnd,2,Cubs,Y,,Joel Green (minors),SS,,,,,,,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",/register/player.fcgi?id=green-001joe,baseball_reference_minor_league_id,green-001joe,NA,CHC
1971,2,6sd,27,FrRnd,3,Brewers,Y,,Scott Larson (minors),RHP,,,,,,,,,,,,,4Yr,"Occidental College (Los Angeles, CA)",/register/player.fcgi?id=larson001sco,baseball_reference_minor_league_id,larson001sco,NA,MIL
1971,2,6sd,28,FrRnd,4,Expos,Y,,Bobby Croswell (minors),SS,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",/register/player.fcgi?id=croswe001rob,baseball_reference_minor_league_id,croswe001rob,NA,WSN
1971,2,6sd,29,FrRnd,5,Red Sox,Y,,Keith Scruggs (minors),RHP,,,,,,,,,,,,,4Yr,"University of Lynchburg (Lynchburg, VA)",/register/player.fcgi?id=scrugg001edw,baseball_reference_minor_league_id,scrugg001edw,NA,BOS
